,topic_id,name,validation_stage,SourceData,KeyBERT_InKey,TopicRank_InKey
0,0798e0e9-9ed4-57fa-9eed-0dccb8250c38,Accounting,9,Found,NotFound,NotFound
1,48653aac-d139-5cc5-9e83-b7e3bb5fb867,Accounts payable,9,Found,NotFound,NotFound
2,4c2c5eb7-8304-5c1d-8513-95bcc1af085b,Accounts receivable,9,Found,NotFound,NotFound
3,29b52ca6-9b1d-5317-bba4-e5118fb6badd,Application Maintenance Services,9,Found,NotFound,NotFound
4,3ec207ae-7a72-543e-a756-18466b490af9,Aprimo,9,Found,NotFound,Found
5,66c0ceeb-9e6c-5828-996e-437cfe1fdb47,Artifical Intelligence,9,NotFound,NotFound,NotFound
6,4d41dc0e-3642-5134-830a-5d0b49edee67,Augmented Reality,9,Found,NotFound,Found
7,abb82c1b-d896-538e-82bc-b3fc84aa218d,Azure,9,Found,NotFound,Found
8,f4c1459a-9bcc-561b-a1be-5a79aab0fef0,Azure DevOps,9,Found,NotFound,NotFound
9,aa5f1c54-fc5f-5824-8a9f-fe2c9e4727db,Azure Integration Services,9,Found,NotFound,NotFound
10,39bbd95e-edb2-5dd3-a93d-9da4a1f10025,Azure LogicApps,9,NotFound,NotFound,NotFound
11,026a4425-c55f-51b6-bd6f-1642273c5084,Azure Purview,9,Found,Found,Found
12,68d307b4-cb57-5bc2-89d8-61793d93de77,Big Data,9,Found,NotFound,NotFound
13,8a725a5e-5e7d-50b4-b4e8-1245f02c024c,Bike Policy,7,Found,NotFound,NotFound
14,51604996-bf44-53ff-ab87-59de27ac3471,Biztalk,9,Found,NotFound,NotFound
15,2ded69d8-1ff0-5a79-942a-ec8c9acd4281,Blockchain,9,Found,Found,Found
16,ed27a8d9-c293-5c42-9096-a7af80b6a811,BW/4HANA,9,Found,NotFound,NotFound
17,32e2af33-82fb-57b5-ad35-e849050712d3,Car Policy,7,Found,NotFound,NotFound
18,aa7bfc96-0d0c-548b-a7bc-9177fb8b377a,CDS,9,Found,NotFound,NotFound
19,eda0f16f-cdc6-5908-8238-39126cfb896e,Change Management,9,Found,Found,Found
20,2ff534e3-bff1-5d56-aa1b-349ad638c08c,Chatbot,9,Found,NotFound,Found
21,1a5ee838-8d85-5846-9843-093df98c049f,Claims management,9,Found,NotFound,NotFound
22,013f85f1-3915-59ce-ba20-ee6add5cba6f,Controlling,9,Found,NotFound,NotFound
23,ba432d3f-8785-5508-b847-bcd4134ee1b3,Costing,9,Found,NotFound,NotFound
24,622db3e6-6b9e-5844-906b-d7dae7a11c58,Cost to Serve,9,Found,NotFound,NotFound
25,188b88eb-48b7-5855-b1eb-a65825649332,Customer management,9,Found,NotFound,NotFound
26,920dd658-688f-514c-9380-6dc0be12aca0,Customer service,9,Found,NotFound,Found
27,f4069931-5dbd-5750-b4a2-9ca5f9f00b0a,Data & Analytics,9,Found,NotFound,NotFound
28,91f341ce-ff32-5b26-9614-65b473e65e36,Databricks,9,Found,NotFound,Found
